SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W0C/FR-001,"USA - Colorado","CO-Front Range","Mount Lincoln",4354,14286,-106.1112,39.3514,-106.11120,39.35140,10,3,01/05/2010,31/12/2099,30,04/08/2025,W0RTA
W0C/FR-002,"USA - Colorado","CO-Front Range","Grays Peak",4349,14270,-105.8175,39.6338,-105.81750,39.63380,10,3,01/05/2010,31/12/2099,29,01/08/2025,WV0X
W0C/FR-003,"USA - Colorado","CO-Front Range","Mount Blue Sky",4348,14264,-105.6434,39.5884,-105.64340,39.58840,10,3,01/05/2010,31/12/2099,155,30/05/2026,KF0VOX
W0C/FR-004,"USA - Colorado","CO-Front Range","Pikes Peak",4301,14110,-105.0444,38.8406,-105.04440,38.84060,10,3,01/05/2010,31/12/2099,271,01/06/2026,KI6NAZ
W0C/FR-005,"USA - Colorado","CO-Front Range","Mount Silverheels",4213,13822,-106.0053,39.3394,-106.00530,39.33940,10,3,01/05/2010,31/12/2099,13,24/05/2026,KF0QGT
W0C/FR-006,"USA - Colorado","CO-Front Range","Bard Peak",4158,13641,-105.8042,39.7203,-105.80420,39.72030,10,3,01/05/2010,31/12/2099,24,12/07/2025,WV0X
W0C/FR-007,"USA - Colorado","CO-Front Range","Rosalie Peak",4138,13575,-105.6065,39.5561,-105.60650,39.55610,10,3,01/05/2010,31/12/2099,42,22/06/2025,W0SKY
W0C/FR-008,"USA - Colorado","CO-Front Range","Hagues Peak",4133,13560,-105.6463,40.4845,-105.64630,40.48450,10,3,01/05/2010,31/12/2099,5,05/08/2023,N0BCB
W0C/FR-009,"USA - Colorado","CO-Front Range","Ypsilon Mountain",4119,13514,-105.6812,40.4572,-105.68120,40.45720,10,3,01/05/2010,31/12/2099,32,20/09/2025,K0MOS
W0C/FR-010,"USA - Colorado","CO-Front Range","Fairchild Mountain",4115,13502,-105.6643,40.4685,-105.66430,40.46850,10,3,01/05/2010,31/12/2099,6,05/08/2023,N0BCB
W0C/FR-011,"USA - Colorado","CO-Front Range","Apache Peak",4097,13441,-105.6509,40.0584,-105.65090,40.05840,8,3,01/05/2010,31/12/2099,2,25/08/2017,KX0R
W0C/FR-012,"USA - Colorado","CO-Front Range","Mount Alice",4057,13310,-105.6635,40.2392,-105.66350,40.23920,8,3,01/05/2010,31/12/2099,2,06/09/2021,K0MOS
W0C/FR-013,"USA - Colorado","CO-Front Range","Mount Audubon",4030,13223,-105.6162,40.0990,-105.61620,40.09900,8,3,01/05/2010,31/12/2099,17,14/10/2025,W4LZZ
W0C/FR-014,"USA - Colorado","CO-Front Range","Copeland Mountain",4016,13176,-105.6464,40.1820,-105.64640,40.18200,8,3,01/05/2010,31/12/2099,3,07/07/2025,N0BAA
W0C/FR-015,"USA - Colorado","CO-Front Range","Mount Jasper",3939,12923,-105.6831,39.9947,-105.68310,39.99470,8,3,01/05/2010,31/12/2099,3,16/07/2023,N0QLR
W0C/FR-016,"USA - Colorado","CO-Front Range","Mount Ida",3932,12900,-105.7792,40.3717,-105.77920,40.37170,8,3,01/05/2010,31/12/2099,22,06/09/2024,K0MOS
W0C/FR-017,"USA - Colorado","CO-Front Range","Mount Logan",3923,12870,-105.6314,39.4958,-105.63140,39.49580,8,3,01/05/2010,31/12/2099,6,10/08/2022,N0IPA
W0C/FR-018,"USA - Colorado","CO-Front Range","Hallett Peak",3875,12713,-105.6861,40.3028,-105.68610,40.30280,8,3,01/05/2010,31/12/2099,18,03/05/2025,KF0QGT
W0C/FR-019,"USA - Colorado","CO-Front Range","Sundance Mountain",3800,12466,-105.7106,40.4083,-105.71060,40.40830,6,3,01/05/2010,31/12/2099,65,12/09/2025,WV0X
W0C/FR-020,"USA - Colorado","CO-Front Range","Kataka Mountain",3792,12441,-105.6609,39.5293,-105.66090,39.52930,6,3,01/05/2010,31/12/2099,4,19/07/2025,W0XC
W0C/FR-021,"USA - Colorado","CO-Front Range","Bison Peak",3789,12431,-105.4978,39.2385,-105.49780,39.23850,6,3,01/05/2010,31/12/2099,5,12/08/2022,KX0R
W0C/FR-022,"USA - Colorado","CO-Front Range","Peak X",3788,12429,-105.6053,39.3680,-105.60530,39.36800,6,3,01/05/2010,31/12/2099,27,13/12/2025,KF0QGT
W0C/FR-023,"USA - Colorado","CO-Front Range","Almagre Mountain",3769,12367,-104.9935,38.7913,-104.99350,38.79130,6,3,01/05/2010,31/12/2099,28,02/08/2025,KF0ULF
W0C/FR-024,"USA - Colorado","CO-Front Range","Mount Evans",3760,12335,-105.6937,39.5508,-105.69370,39.55080,8,3,01/05/2010,31/01/2013,0,,
W0C/FR-025,"USA - Colorado","CO-Front Range","McCurdy Mountain",3709,12168,-105.4683,39.2194,-105.46830,39.21940,6,3,01/05/2010,31/12/2099,2,08/10/2020,KX0R
W0C/FR-026,"USA - Colorado","CO-Front Range","Saint Vrain Mountain",3707,12162,-105.5856,40.1610,-105.58560,40.16100,6,3,01/05/2010,31/12/2099,38,19/04/2026,KK6SQ
W0C/FR-027,"USA - Colorado","CO-Front Range","Cameron Peak",3696,12127,-105.8947,40.6247,-105.89470,40.62470,6,3,01/05/2010,31/12/2099,1,13/10/2013,K0MOS
W0C/FR-028,"USA - Colorado","CO-Front Range","Windy Mountain",3843,12608,-106.4020,37.4661,-106.40200,37.46610,8,3,01/05/2010,31/12/2099,2,29/08/2021,KF0BGL
W0C/FR-029,"USA - Colorado","CO-Front Range","North Tarryall Peak",3628,11902,-105.6106,39.3119,-105.61060,39.31190,6,3,01/05/2010,31/12/2099,25,10/09/2025,WA2USA/P
W0C/FR-030,"USA - Colorado","CO-Front Range","Chief Mountain",3569,11709,-105.5228,39.6757,-105.52280,39.67570,6,3,01/05/2010,31/12/2099,226,25/03/2026,KX0R
W0C/FR-031,"USA - Colorado","CO-Front Range","Black Mountain",3552,11654,-105.6873,38.7184,-105.68730,38.71840,6,3,01/05/2010,31/12/2099,35,22/05/2026,AA0HC
W0C/FR-032,"USA - Colorado","CO-Front Range","Buffalo Peak",3532,11589,-105.3681,39.2755,-105.36810,39.27550,6,3,01/05/2010,31/12/2099,4,10/10/2020,KX0R
W0C/FR-033,"USA - Colorado","CO-Front Range","Saxon Mountain",3519,11546,-105.6695,39.7233,-105.66950,39.72330,6,3,01/05/2010,31/12/2099,9,19/09/2025,KG0AT
W0C/FR-034,"USA - Colorado","CO-Front Range","Mount Rosa",3505,11499,-104.9480,38.7541,-104.94800,38.75410,6,3,01/05/2010,31/12/2099,58,10/04/2026,KE5RZL
W0C/FR-035,"USA - Colorado","CO-Front Range","Meridian Hill",3502,11490,-105.4864,39.5564,-105.48640,39.55640,6,3,01/05/2010,31/12/2099,10,07/02/2026,W0SKY
W0C/FR-036,"USA - Colorado","CO-Front Range","Bighorn Mountain",3494,11463,-105.6200,40.4296,-105.62000,40.42960,6,3,01/05/2010,31/12/2099,26,28/09/2025,K0MOS
W0C/FR-037,"USA - Colorado","CO-Front Range","East Twin Sisters Peaks",3483,11428,-105.5174,40.2885,-105.51740,40.28850,6,3,01/05/2010,31/12/2099,80,25/05/2026,K0BH
W0C/FR-038,"USA - Colorado","CO-Front Range","South Tarryall Peak",3416,11206,-105.4410,39.1549,-105.44100,39.15490,6,3,01/05/2010,31/12/2099,13,05/10/2025,K5SJC
W0C/FR-039,"USA - Colorado","CO-Front Range","Estes Cone",3355,11006,-105.5672,40.2951,-105.56720,40.29510,6,3,01/05/2010,31/12/2099,62,06/04/2026,KX0R
W0C/FR-040,"USA - Colorado","CO-Front Range","Mount Garfield",3335,10940,-104.9475,38.8076,-104.94750,38.80760,6,3,01/05/2010,31/12/2099,10,12/09/2024,KF0RIG
W0C/FR-041,"USA - Colorado","CO-Front Range","Dicks Peak",3268,10722,-105.6405,38.7954,-105.64050,38.79540,6,3,01/05/2010,31/12/2099,72,01/06/2026,K0JJW
W0C/FR-042,"USA - Colorado","CO-Front Range","Santa Fe Mountain",3212,10537,-105.4715,39.7105,-105.47150,39.71050,6,3,01/05/2010,31/12/2099,56,15/05/2026,KX0R
W0C/FR-044,"USA - Colorado","CO-Front Range","Green Mountain",3176,10421,-105.3001,39.3052,-105.30010,39.30520,4,3,01/05/2010,31/12/2099,16,10/09/2025,KX0R
W0C/FR-045,"USA - Colorado","CO-Front Range","Mount Pisgah",3167,10390,-105.2180,38.7558,-105.21800,38.75580,4,3,01/05/2010,31/12/2099,16,04/11/2023,K0ATV
W0C/FR-046,"USA - Colorado","CO-Front Range","West White Pine Mountain",3141,10305,-105.4717,40.6052,-105.47170,40.60520,4,3,01/05/2010,31/12/2099,16,14/06/2025,N0DET
W0C/FR-047,"USA - Colorado","CO-Front Range","Mount Judge",3140,10301,-105.4563,39.6673,-105.45630,39.66730,4,3,01/05/2010,31/12/2099,81,23/03/2026,KX0R
W0C/FR-048,"USA - Colorado","CO-Front Range","Thunder Butte",2998,9836,-105.1975,39.1717,-105.19750,39.17170,4,3,01/05/2010,31/12/2099,34,03/05/2026,W0XC
W0C/FR-049,"USA - Colorado","CO-Front Range","Centralia Mountain",2986,9795,-105.3705,39.8284,-105.37050,39.82840,4,3,01/05/2010,31/12/2099,23,03/05/2026,KX0R
W0C/FR-050,"USA - Colorado","CO-Front Range","Lily Mountain",2983,9786,-105.5411,40.3191,-105.54110,40.31910,4,3,01/05/2010,31/12/2099,74,25/04/2026,KK6SQ
W0C/FR-051,"USA - Colorado","CO-Front Range","Devils Head",2971,9748,-105.1013,39.2603,-105.10130,39.26030,4,3,01/05/2010,31/12/2099,94,22/05/2026,KM4CFT
W0C/FR-052,"USA - Colorado","CO-Front Range","Ormes Peak",2965,9727,-104.9350,38.9506,-104.93500,38.95060,4,3,01/05/2010,31/12/2099,102,15/05/2026,KF0RIG
W0C/FR-053,"USA - Colorado","CO-Front Range","Cheyenne Mountain",2915,9565,-104.8807,38.7371,-104.88070,38.73710,4,3,01/05/2010,31/12/2099,52,12/01/2026,N1SMB
W0C/FR-054,"USA - Colorado","CO-Front Range","Douglas Mountain",2911,9550,-105.6761,39.7518,-105.67610,39.75180,4,3,01/05/2010,31/12/2099,73,22/03/2026,N0IPA
W0C/FR-055,"USA - Colorado","CO-Front Range","Kenny Mountain",2832,9290,-105.4170,40.2916,-105.41700,40.29160,4,3,01/05/2010,31/12/2099,25,28/03/2026,KX0R
W0C/FR-056,"USA - Colorado","CO-Front Range","Panorama Peak",2830,9284,-105.4087,40.3520,-105.40870,40.35200,4,3,01/05/2010,31/12/2099,70,29/03/2026,WU0A
W0C/FR-057,"USA - Colorado","CO-Front Range","Crosier Mountain",2819,9250,-105.4248,40.4322,-105.42480,40.43220,4,3,01/05/2010,31/12/2099,47,18/03/2026,K0MOS
W0C/FR-058,"USA - Colorado","CO-Front Range","Emerald Mountain",2815,9237,-105.5872,40.3307,-105.58720,40.33070,4,3,01/05/2010,31/12/2099,93,14/05/2026,K0MOS
W0C/FR-059,"USA - Colorado","CO-Front Range","Little Scraggy Peak",2802,9192,-105.2754,39.3148,-105.27540,39.31480,4,3,01/05/2010,31/12/2099,76,30/05/2026,AE0YK
W0C/FR-060,"USA - Colorado","CO-Front Range","Berrian Mountain",2788,9147,-105.2923,39.5549,-105.29230,39.55490,4,3,01/05/2010,31/12/2099,149,30/03/2026,N0BAA
W0C/FR-061,"USA - Colorado","CO-Front Range","Taylor Mountain",2784,9134,-105.4678,40.1957,-105.46780,40.19570,4,3,01/05/2010,31/12/2099,120,26/05/2026,WU0A
W0C/FR-062,"USA - Colorado","CO-Front Range","Mount Bailey",2770,9089,-105.4597,39.4152,-105.45970,39.41520,4,3,01/05/2010,31/12/2099,80,21/02/2025,N3BEN
W0C/FR-063,"USA - Colorado","CO-Front Range","Mount Herman",2762,9063,-104.9264,39.0818,-104.92640,39.08180,4,3,01/05/2010,31/12/2099,605,04/06/2026,KF0RUA
W0C/FR-064,"USA - Colorado","CO-Front Range","West Crosier",2749,9020,-105.4384,40.4291,-105.43840,40.42910,4,3,01/05/2010,31/12/2099,41,04/03/2026,K0MOS
W0C/FR-065,"USA - Colorado","CO-Front Range","Doublehead Mountain",2737,8980,-105.2580,39.5620,-105.25800,39.56200,2,3,01/05/2010,31/12/2099,0,,
W0C/FR-066,"USA - Colorado","CO-Front Range","Tappan Mountain",2729,8954,-105.3908,39.0732,-105.39080,39.07320,2,0,01/05/2010,31/12/2099,55,24/05/2026,K8QWR
W0C/FR-067,"USA - Colorado","CO-Front Range","Crescent Mountain",2726,8945,-105.3136,39.8930,-105.31360,39.89300,2,0,01/05/2010,31/12/2099,0,,
W0C/FR-068,"USA - Colorado","CO-Front Range","Eagle Cliff Mountain",2715,8906,-105.5757,40.3585,-105.57570,40.35850,2,0,01/05/2010,31/12/2099,41,14/02/2026,KX0R
W0C/FR-069,"USA - Colorado","CO-Front Range","Prospect Mountain",2713,8900,-105.5219,40.3596,-105.52190,40.35960,2,0,01/05/2010,31/12/2099,57,22/05/2025,K7MAS/P
W0C/FR-070,"USA - Colorado","CO-Front Range","Castle Mountain",2693,8834,-105.5502,40.3895,-105.55020,40.38950,2,0,01/05/2010,31/12/2099,29,04/03/2026,KX0R
W0C/FR-071,"USA - Colorado","CO-Front Range","Long Scraggy Peak",2686,8812,-105.2019,39.3493,-105.20190,39.34930,2,0,01/05/2010,31/12/2099,15,24/05/2026,KX0R
W0C/FR-072,"USA - Colorado","CO-Front Range","Mount Olympus",2685,8808,-105.4617,40.3748,-105.46170,40.37480,2,0,01/05/2010,31/12/2099,35,16/02/2026,KX0R
W0C/FR-073,"USA - Colorado","CO-Front Range","Redskin Mountain",2677,8783,-105.3639,39.3587,-105.36390,39.35870,2,0,01/05/2010,31/12/2099,32,24/05/2026,WBØJNR
W0C/FR-074,"USA - Colorado","CO-Front Range","Bear Mountain",2630,8629,-105.2902,39.6229,-105.29020,39.62290,2,0,01/05/2010,31/12/2099,4,28/01/2026,W0RTA
W0C/FR-075,"USA - Colorado","CO-Front Range","South Boulder Peak",2606,8549,-105.2992,39.9537,-105.29920,39.95370,2,0,01/05/2010,31/12/2099,43,09/04/2026,KX0R
W0C/FR-076,"USA - Colorado","CO-Front Range","Evergreen Mountain",2602,8536,-105.3609,39.6104,-105.36090,39.61040,2,0,01/05/2010,31/12/2099,134,21/05/2026,KX0R
W0C/FR-077,"USA - Colorado","CO-Front Range","Sugarloaf Peak",2591,8501,-105.3057,39.2493,-105.30570,39.24930,2,0,01/05/2010,31/12/2099,20,30/05/2026,KX0R
W0C/FR-078,"USA - Colorado","CO-Front Range","Banner Peak",2591,8500,-105.2958,39.4192,-105.29580,39.41920,2,0,01/05/2010,31/12/2099,0,,
W0C/FR-079,"USA - Colorado","CO-Front Range","Mount Ethel",2582,8471,-105.3528,40.6354,-105.35280,40.63540,2,0,01/05/2010,31/12/2099,1,21/08/2021,K0HAK
W0C/FR-080,"USA - Colorado","CO-Front Range","Sheep Mountain",2576,8450,-105.3108,40.4121,-105.31080,40.41210,2,0,01/05/2010,31/12/2099,20,02/04/2026,KX0R
W0C/FR-081,"USA - Colorado","CO-Front Range","Button Rock Mountain",2576,8450,-105.3853,40.2534,-105.38530,40.25340,2,0,01/05/2010,31/12/2099,42,15/01/2026,KX0R
W0C/FR-082,"USA - Colorado","CO-Front Range","Triangle Mountain",2565,8415,-105.4513,40.4648,-105.45130,40.46480,2,0,01/05/2010,31/12/2099,31,16/04/2026,KX0R
W0C/FR-083,"USA - Colorado","CO-Front Range","Eldorado Mountain",2542,8340,-105.2926,39.9129,-105.29260,39.91290,2,0,01/05/2010,31/12/2099,28,30/10/2025,KX0R
W0C/FR-084,"USA - Colorado","CO-Front Range","Palisade Mountain",2519,8264,-105.3108,40.4403,-105.31080,40.44030,2,0,01/05/2010,31/12/2099,28,29/05/2026,KX0R
W0C/FR-085,"USA - Colorado","CO-Front Range","Green Mountain",2482,8144,-105.3014,39.9821,-105.30140,39.98210,2,0,01/05/2010,31/12/2099,179,29/05/2026,W4MUS
W0C/FR-086,"USA - Colorado","CO-Front Range","Coffintop Mountain",2457,8060,-105.3563,40.1976,-105.35630,40.19760,2,0,01/05/2010,31/12/2099,20,01/05/2026,KX0R
W0C/FR-087,"USA - Colorado","CO-Front Range","Bennett Mountain",2452,8045,-105.1245,39.3861,-105.12450,39.38610,2,0,01/05/2010,31/12/2099,114,16/05/2026,KG0AT
W0C/FR-088,"USA - Colorado","CO-Front Range","Mount McConnel",2444,8020,-105.4645,40.6720,-105.46450,40.67200,2,0,01/05/2010,31/12/2099,39,30/05/2026,KQ4CEA
W0C/FR-089,"USA - Colorado","CO-Front Range","Cheesman Mountain",2422,7946,-105.2707,39.2338,-105.27070,39.23380,1,0,01/05/2010,31/12/2099,20,22/05/2026,KX0R
W0C/FR-090,"USA - Colorado","CO-Front Range","Christ Mountain",2414,7919,-105.2847,40.5753,-105.28470,40.57530,1,0,01/05/2010,31/12/2099,2,07/04/2023,KD8EQA
W0C/FR-091,"USA - Colorado","CO-Front Range","Blue Mountain",2404,7888,-105.2810,40.3353,-105.28100,40.33530,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-092,"USA - Colorado","CO-Front Range","Mount Morrison",2402,7881,-105.2198,39.6691,-105.21980,39.66910,1,0,01/05/2010,31/12/2099,43,09/05/2026,W0SKY
W0C/FR-093,"USA - Colorado","CO-Front Range","Bald Mountain",2402,7881,-104.8489,39.1377,-104.84890,39.13770,1,0,01/05/2010,31/12/2099,4,11/11/2011,KD0PNK
W0C/FR-094,"USA - Colorado","CO-Front Range","North Greyrock",2341,7681,-105.3008,40.7274,-105.30080,40.72740,1,0,01/05/2010,31/12/2099,12,15/12/2025,KX0R
W0C/FR-095,"USA - Colorado","CO-Front Range","Greyrock Mountain",2320,7613,-105.2925,40.7158,-105.29250,40.71580,1,0,01/05/2010,31/12/2099,28,21/03/2026,KE0EEY
W0C/FR-096,"USA - Colorado","CO-Front Range","Rattlesnake Butte",2309,7575,-104.8444,39.1967,-104.84440,39.19670,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-097,"USA - Colorado","CO-Front Range","Sheep Mountain",2303,7555,-105.4248,40.6820,-105.42480,40.68200,1,0,01/05/2010,31/12/2099,18,07/11/2025,KX0R
W0C/FR-098,"USA - Colorado","CO-Front Range","Cook Mountain",2298,7540,-105.4057,40.2153,-105.40570,40.21530,1,0,01/05/2010,31/12/2099,18,12/04/2026,KX0R
W0C/FR-099,"USA - Colorado","CO-Front Range","Livermore Mountain",2287,7504,-105.2924,40.7570,-105.29240,40.75700,1,0,01/05/2010,31/12/2099,1,02/11/2015,KX0R
W0C/FR-101,"USA - Colorado","CO-Front Range","Dawson Butte",2280,7481,-104.9378,39.3003,-104.93780,39.30030,1,0,01/05/2010,31/12/2099,5,24/07/2020,W0DFM
W0C/FR-102,"USA - Colorado","CO-Front Range","Horsetooth Mountain",2211,7255,-105.1967,40.5395,-105.19670,40.53950,1,0,01/05/2010,31/12/2099,48,08/03/2026,KD0VUY
W0C/FR-103,"USA - Colorado","CO-Front Range","Alexander Mountain",2166,7105,-105.2511,40.4277,-105.25110,40.42770,1,0,01/05/2010,31/12/2099,1,16/02/2013,N0BCB
W0C/FR-104,"USA - Colorado","CO-Front Range","Bonner Peak",2117,6944,-105.2045,40.7393,-105.20450,40.73930,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-105,"USA - Colorado","CO-Front Range","Timber Mountain",2102,6896,-104.8791,38.5680,-104.87910,38.56800,1,0,01/05/2010,31/12/2099,2,08/05/2022,KD8EQA
W0C/FR-106,"USA - Colorado","CO-Front Range","Milner Mountain",2097,6881,-105.1824,40.4974,-105.18240,40.49740,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-107,"USA - Colorado","CO-Front Range","Green Mountain",2089,6855,-105.1779,39.7010,-105.17790,39.70100,1,0,01/05/2010,31/12/2099,139,19/04/2026,WBØJNR
W0C/FR-108,"USA - Colorado","CO-Front Range","Indian Mountain",2009,6591,-105.2506,40.2623,-105.25060,40.26230,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-109,"USA - Colorado","CO-Front Range","North Table Mountain",2004,6575,-105.2204,39.7789,-105.22040,39.77890,1,0,01/05/2010,31/12/2099,106,07/05/2026,NE01
W0C/FR-110,"USA - Colorado","CO-Front Range","Longs Peak",4345,14255,-105.6152,40.2550,-105.61520,40.25500,10,3,01/08/2011,31/12/2099,16,15/06/2025,KOBTC
W0C/FR-111,"USA - Colorado","CO-Front Range","Chiefs Head Peak",4139,13579,-105.6416,40.2497,-105.64160,40.24970,10,3,01/08/2011,31/12/2099,3,25/09/2021,K0MOS
W0C/FR-112,"USA - Colorado","CO-Front Range","North Arapaho Peak",4115,13502,-105.6502,40.0264,-105.65020,40.02640,10,3,01/08/2011,31/12/2099,3,02/09/2022,K0MOS
W0C/FR-113,"USA - Colorado","CO-Front Range","Kiowa Peak",4047,13276,-105.6243,40.0478,-105.62430,40.04780,8,3,01/08/2011,31/12/2099,0,,
W0C/FR-114,"USA - Colorado","CO-Front Range","Arikaree Peak",4008,13150,-105.6384,40.0467,-105.63840,40.04670,8,3,01/08/2011,31/12/2099,0,,
W0C/FR-115,"USA - Colorado","CO-Front Range","Ogalalla Peak",4004,13138,-105.6667,40.1700,-105.66670,40.17000,8,3,01/08/2011,31/12/2099,1,04/09/2021,K0MOS
W0C/FR-116,"USA - Colorado","CO-Front Range","Isolation Peak",3998,13118,-105.6778,40.2024,-105.67780,40.20240,8,3,01/08/2011,31/12/2099,2,28/08/2021,K0MOS
W0C/FR-118,"USA - Colorado","CO-Front Range","Stones Peak",3939,12922,-105.7206,40.3544,-105.72060,40.35440,8,3,01/08/2011,31/12/2099,1,30/09/2023,K0MOS
W0C/FR-119,"USA - Colorado","CO-Front Range","Comanche Peak Wilderness HP",3876,12716,-105.6847,40.5509,-105.68470,40.55090,8,3,01/08/2011,31/12/2099,1,06/11/2014,AD0KE
W0C/FR-120,"USA - Colorado","CO-Front Range","McReynolds Peak",3795,12450,-105.0803,38.8126,-105.08030,38.81260,6,3,01/08/2011,31/12/2099,2,11/05/2022,KN0MAP
W0C/FR-121,"USA - Colorado","CO-Front Range","Sheep Mountain",3779,12397,-105.0547,38.7931,-105.05470,38.79310,6,3,01/08/2011,31/12/2099,13,27/09/2025,KG0AT
W0C/FR-122,"USA - Colorado","CO-Front Range","Skyscraper Peak",3774,12383,-105.6808,39.9597,-105.68080,39.95970,6,3,01/08/2011,31/12/2099,5,25/10/2024,WV0X
W0C/FR-123,"USA - Colorado","CO-Front Range","Trail Ridge",3766,12355,-105.7572,40.4296,-105.75720,40.42960,6,3,01/08/2011,31/12/2099,58,12/09/2025,WV0X
W0C/FR-124,"USA - Colorado","CO-Front Range",11859,3615,11859,-105.7253,40.5791,-105.72530,40.57910,6,3,01/08/2011,31/12/2099,1,20/10/2014,AD0KE
W0C/FR-125,"USA - Colorado","CO-Front Range","Sheep Mountain",3603,11820,-105.9339,40.6820,-105.93390,40.68200,6,3,01/08/2011,31/12/2099,1,09/08/2023,K0MOS
W0C/FR-126,"USA - Colorado","CO-Front Range","Crown Benchmark",3547,11637,-105.6627,40.6153,-105.66270,40.61530,6,3,01/08/2011,31/12/2099,3,01/06/2025,KF0QGT
W0C/FR-127,"USA - Colorado","CO-Front Range","Signal Mountain",3433,11262,-105.5115,40.5255,-105.51150,40.52550,6,3,01/08/2011,31/12/2099,21,04/04/2026,KE0EEY
W0C/FR-128,"USA - Colorado","CO-Front Range","Confluence Peak",3420,11220,-105.7494,40.4994,-105.74940,40.49940,6,3,01/08/2011,31/12/2099,1,31/07/2018,KX0R
W0C/FR-129,"USA - Colorado","CO-Front Range","Cow Mountain",3396,11143,-105.0847,38.7580,-105.08470,38.75800,6,3,01/08/2011,31/12/2099,4,04/02/2018,K7PX
W0C/FR-130,"USA - Colorado","CO-Front Range","Killpecker Mountain",3359,11020,-105.7160,40.7703,-105.71600,40.77030,6,3,01/08/2011,31/12/2099,8,18/08/2025,KX0R
W0C/FR-131,"USA - Colorado","CO-Front Range",10980,3347,10980,-105.7789,40.5351,-105.77890,40.53510,6,3,01/08/2011,31/12/2099,2,21/09/2017,KX0R
W0C/FR-132,"USA - Colorado","CO-Front Range","Trachyte Knob",3311,10862,-105.1068,38.7733,-105.10680,38.77330,6,3,01/08/2011,31/12/2099,41,06/02/2026,KF0RIG
W0C/FR-133,"USA - Colorado","CO-Front Range","Big Bull Mountain",3302,10832,-105.1123,38.7153,-105.11230,38.71530,6,3,01/08/2011,31/12/2099,24,27/01/2024,KD8EQA
W0C/FR-134,"USA - Colorado","CO-Front Range","Tuckaway Mountain",3298,10820,-104.9712,38.8140,-104.97120,38.81400,6,3,01/08/2011,31/12/2099,6,15/05/2025,KF0RIG
W0C/FR-135,"USA - Colorado","CO-Front Range","Bull Hill",3294,10808,-105.1399,38.7361,-105.13990,38.73610,6,3,01/08/2011,31/12/2099,9,29/08/2016,WA2USA/P
W0C/FR-136,"USA - Colorado","CO-Front Range","Rhyolite Mountain",3286,10780,-105.1668,38.7826,-105.16680,38.78260,6,3,01/08/2011,31/12/2099,11,21/10/2023,KD8EQA
W0C/FR-137,"USA - Colorado","CO-Front Range",10720,3267,10720,-105.4465,40.5139,-105.44650,40.51390,6,3,01/08/2011,31/12/2099,5,16/09/2019,KX0R
W0C/FR-138,"USA - Colorado","CO-Front Range","Cameron Cone",3263,10707,-104.9545,38.8312,-104.95450,38.83120,6,3,01/08/2011,31/12/2099,5,15/08/2025,KD8EQA
W0C/FR-139,"USA - Colorado","CO-Front Range",10654,3247,10654,-105.3776,39.2206,-105.37760,39.22060,6,3,01/08/2011,31/12/2099,2,02/07/2017,KX0R
W0C/FR-140,"USA - Colorado","CO-Front Range",10650,3246,10650,-104.9880,38.7267,-104.98800,38.72670,6,3,01/08/2011,31/12/2099,51,12/02/2026,KF0RIG
W0C/FR-141,"USA - Colorado","CO-Front Range",10620,3237,10620,-105.3939,39.2545,-105.39390,39.25450,6,3,01/08/2011,31/12/2099,6,04/10/2023,KX0R
W0C/FR-142,"USA - Colorado","CO-Front Range","Raspberry Mountain",3232,10605,-105.1244,38.9071,-105.12440,38.90710,6,3,01/08/2011,31/12/2099,123,29/05/2026,N9ZZT
W0C/FR-143,"USA - Colorado","CO-Front Range","Brind Mountain",3198,10492,-105.1169,38.6941,-105.11690,38.69410,4,3,01/08/2011,31/12/2099,0,,
W0C/FR-144,"USA - Colorado","CO-Front Range","Knights Peak",3197,10490,-104.9463,38.7254,-104.94630,38.72540,4,3,01/08/2011,31/12/2099,66,30/03/2026,KF0RIG
W0C/FR-145,"USA - Colorado","CO-Front Range","McGregor Mountain",3196,10486,-105.5768,40.4136,-105.57680,40.41360,4,3,01/08/2011,31/12/2099,16,02/11/2025,KF0QGT
W0C/FR-146,"USA - Colorado","CO-Front Range","East White Pine Mountain",3124,10248,-105.4463,40.6048,-105.44630,40.60480,4,3,01/08/2011,31/12/2099,17,15/11/2025,KF0QGT
W0C/FR-147,"USA - Colorado","CO-Front Range",10148,3093,10148,-106.0032,40.8080,-106.00320,40.80800,4,3,01/08/2011,31/12/2099,0,,
W0C/FR-148,"USA - Colorado","CO-Front Range","Buckeye Mountain",3091,10140,-105.5626,39.9219,-105.56260,39.92190,4,3,01/08/2011,31/12/2099,5,22/06/2025,K0DBU
W0C/FR-149,"USA - Colorado","CO-Front Range","Green Mountain",3091,10140,-104.9634,38.6966,-104.96340,38.69660,4,3,01/08/2011,31/12/2099,6,15/05/2019,WG0AT
